ID	SEVERITY	TITLE	ROOT_CAUSE	EVIDENCE	FIX	REGRESSION_TEST	STATUS
F4W-008	high	nine of the delivered views could never be displayed, because a <section> was never closed	apps/webui-static/index.html opened <section class="view" id="view-tasks"> and never closed it. HTML does not auto-close a section when the next one opens, so view-documents, view-knowledge, view-memory, view-models, view-agents, view-coden, view-hardware, view-not-found and view-access-denied all became DOM CHILDREN of view-tasks. A .view is display:none unless it carries .active, and an element inside a display:none ancestor has no box however active it is - so those panels were populated, marked active, and invisible. This is the reported symptom (clicking Agents, Tools or Knowledge does nothing) and it also made the 404 and access-denied pages built in the previous phase unreachable	the delivered file has 35 <section> opens against 34 closes. A DOM walk in a real browser reported the ancestor chain BUTTON -> FORM -> SECTION.panel -> SECTION#view-security.view.active -> SECTION#view-tasks.view, with view-tasks NOT active, and every box 0x0. The previous phase concluded navigation was not broken because it checked classList rather than whether anything was on screen	added the missing </section>	services/reference-control-plane/test/webui-markup-structure.test.mjs asserts tag balance for section/form/main/aside/nav/article/header/footer, that no view section is nested below another, that section depth returns to zero, that every id is unique, and that every nav target has both a view and a ROUTES entry. Verified to FAIL against the delivered file (9 nested views) and pass against the fixed one. Browser acceptance additionally asserts every route has a non-zero rendered box	CLOSED - fixed, with a regression test proven to fail on the original
F4W-009	medium	a form built in this phase collapsed its submit button to zero by zero, so the click did nothing	the authenticator replacement form was given class="form-stack inline-form". .form-stack sets display:grid and .inline-form sets display:flex, and it was the only element in the file carrying both. This was introduced by this phase, not delivered	the browser harness reported the button as 0x0 with display=block; no other form in the file combines those two classes	the form uses form-stack alone, as every other form on the page does	clickOrExplain() in tools/browser-e2e.mjs now reports geometry, computed display and disabled state instead of Puppeteer bare "not clickable" message, so the next occurrence names its own cause. The MFA replacement is driven end to end by the browser suite	CLOSED - defect of this phase, fixed
F4W-010	medium	the browser suite passed on pages that were never on screen	the first version of the route check tested classList.contains("active") and the length of innerText. innerText falls back to textContent for an element that is not rendered, so nine invisible views (F4W-008) measured thousands of characters and passed. A check that cannot fail on the defect it is aimed at is not evidence	all 21 routes passed while view-security was demonstrably inside a display:none ancestor	the check now requires offsetParent to be non-null and a non-zero bounding box, reported as width x height	the corrected check was run against the unfixed markup and against the fixed markup; it is what localised F4W-008	CLOSED - defect in this phase own verification, fixed
META-001	informational	this register only covers Phase 4 (F4-*, F4C-*, F4L-*, F4W-*)	findings after D-0170 (post-Phase-4 build-out) are recorded inline in docs/DECISION_LOG.md, this TSV was never extended to a second naming scheme	observed 2026-08-03: no F4-numbered entry exists past F4W-010, while the decision log documents dozens of real defects found+fixed from D-0170 through D-0296 (e.g. D-0192 shadow self-nesting, D-0257 leaked secret, D-0262 RLS RESTRICTIVE-only bug)	none -- documentation-only observation	none	OPEN - recorded 2026-08-03, no action
F-CE021-001	medium	the driven probe for CE-021 asserts an approval flow the engine deliberately replaced on 2026-08-19	tools/acceptance/ce-021-two-shells.mjs calls workspace.approve straight after workspace.plan. D-0569 (9ef29bb7, 2026-08-19, CE-008) made measure() mandatory before approve, so the engine now refuses NOT_MEASURED. The probe was last touched on 2026-08-05, two weeks before the rule it predates, and nobody re-ran it against the change	run of 2026-08-30: CE021_FAIL=4 - browser shell finishes what the terminal started promoted=undefined; re-attached terminal still sees PENDING_APPROVAL; the causal trail has workspace_action.planned without .promoted; the probe aborts on NOT_MEASURED. The same flow WITH measure() between the two calls passes in test/ce-021-one-live-session-across-both-shells.test.mjs lines 102-105, inside the green 3152-test suite. CE-020 18/18 and CE-037 15/15 the same day	none applied - the Owner decides. The candidate is one call in the probe, measure() between plan and approve on both transports, since the criterion is about the two shells and not about the arity of the approval	the unit test above already covers the corrected sequence; what is missing is a gate that runs the driven probes, which is how this one rotted for eleven days	OPEN - recorded 2026-08-30, awaiting the Owner
F-CE035-001	low	CE-035 carries no verdict at all, although the gesture it describes is driven and passing	the row (MASTER_PROJECT/16_CODEN_EVOLUTION_LA_GENERAZIONE_E_L_ACCESSO.md:483) never had a status line written beneath it. The evidence for it exists and predates the omission	node tools/acceptance-matrix.mjs on 2026-08-30: rows=73 status-recorded=72 recorded-met=64 NO-STATUS-AT-ALL=1, and the one row with no verdict is CE-035, severity high. tools/acceptance/ce-037-one-word.mjs the same day: 15/15, including run 2 - ONE WORD: the session opened with nothing typed	none applied - writing a verdict is a claim about the product and it is the Owner to authorise	acceptance-matrix.test.mjs fails when a listed document stops parsing, but nothing fails on a row that carries no verdict at all	OPEN - recorded 2026-08-30, awaiting the Owner
F-WIN-001	medium	the Windows installer cannot be run by anyone on a default Windows, and nothing says so	PowerShell's default execution policy (Restricted for a desktop user) refuses an unsigned .ps1. deployment/windows/ carries five scripts and no README, and no script or document in the repository tells a Windows installer how to get past it. The project already solved this elsewhere and did not carry it here: deployment/container/Install-CodenCli.ps1 writes a .cmd shim that invokes `powershell -NoProfile -ExecutionPolicy Bypass -File ...`, so the person runs a .cmd and never meets the policy	measured on a real Windows 11 machine on 2026-08-31, Node v24.19.0, from a fresh clone: `.\deployment\windows\Install-Noesar.ps1` failed with PSSecurityException / UnauthorizedAccess, 'L'esecuzione di script e disabilitata nel sistema in uso'. It then installed correctly after `Set-ExecutionPolicy -Scope Process -ExecutionPolicy Bypass`. This is the first execution of this installer on Windows by anyone: tools/test-cross-platform-installers.mjs has always reported CROSS_PLATFORM_PLATFORMS_NOT_EXECUTED=windows	FIXED 2026-09-13 (commit 4af732f1): deployment/windows/Install-Noesar.cmd checked in, same shape deployment/container/Install-CodenCli.ps1 already generates at install time (`@echo off` + `powershell -NoProfile -ExecutionPolicy Bypass -File Install-Noesar.ps1 %*`). Not independently re-triggered on a Restricted-policy machine this session (the test host's own policy already resolves to Bypass at the Process scope) -- the shim mechanism itself is the one already proven working for Install-CodenCli.ps1, copied rather than re-invented.	tools/test-cross-platform-installers.mjs: asserts Install-Noesar.cmd exists, invokes Install-Noesar.ps1, and carries -ExecutionPolicy Bypass (3 new checks, 101 total, was 98)	CLOSED - fixed 2026-09-13, tested; execution-policy bypass itself not independently re-verified on a Restricted machine this session (see FIX)
F-HARD-001	high	seven of the container hardening properties were absent on the running installation, and two submitted funding files called them live-inspected	a redeploy re-creates the container from flags it reconstructs, and nothing reconstructed the hardening set. redeploy.sh carried the network address forward — added after F-ROT-001 filed exactly this class of silent loss — and carried no --cap-drop, --security-opt, --pids-limit or tmpfs mount options at all. This was the second occurrence: D-0240 found ReadonlyRootfs:false/CapDrop:null against INST-004 recorded PASS, and INSTALLATION_LEDGER line 3034 records the restoration of the same set by hand	found 2026-09-01 by docker inspect on the running container (image noesar-evolution:placement-3): User=10001:10001 PASS, ReadonlyRootfs=true PASS, no docker socket PASS; CapDrop=[] SecurityOpt=[] PidsLimit=<no value> Memory=0 NanoCpus=0 Tmpfs /run=mode=1777 Tmpfs /tmp= all MISSING. ShmSize=67108864 is NOT counted either way: it is byte-identical to the Docker default. FUNDING/06 and FUNDING/12 both described the full set as live-inspected	two parts, both done 2026-09-01. (1) 08a876c6 — redeploy.sh DECLARES the hardening set rather than reading it back, because reading it back is what let a degraded container hand its degradation to its replacement; STEP 7b inspects the replacement after creation and calls fail_after_rename when a property is missing, so an unhardened container is rolled back instead of left running. --memory and --cpus stay carried and warned about, never declared: they depend on the host and property 5 of that file forbids presuming one. (2) the Owner deployed noesar-evolution:hardening-20260901T123336Z, which printed the new assertion and kept exactly one predecessor	tools/deploy/test/redeploy-fixture.sh section 13, seven checks, including that a predecessor with no hardening still yields a hardened replacement. Oracle proven: with HARDENING removed from the docker run the fixture goes 76 passed / 30 failed and the deploy exits 4 rather than leaving an unhardened container running. Before the change 99/0, after it 106/0	CLOSED 2026-09-01 — verified independently of the deploy tool's own report: CapDrop=[ALL], SecurityOpt=[no-new-privileges:true], PidsLimit=512, Tmpfs /run=mode=1777,rw,nosuid,nodev,noexec (the application mode survived), Tmpfs /tmp=rw,nosuid,nodev,noexec, User=10001:10001, ReadonlyRootfs=true, no docker socket, running healthy. Memory=0 and NanoCpus=0 remain by design and were warned about at deploy time
F-SDK-001	low	the public SDK type had silently stopped matching the manifest template it mirrors	packages/sdk/ is a typed mirror of a contract that lives elsewhere as JSON (capabilities/templates/capability/manifest.template.json, capabilities/security/permission-catalog.json). Nothing read the two together, so the mirror could drift without failing anything: the package was last touched 2026-07-25 (f6140d86) while capabilities/ moved until 2026-08-21, and neither the battery nor the pre-commit hook covered it	the live template declares compatibility (noesar version range, platforms) and rollback (supported, strategy); CapabilityManifest declared neither. A third party typing against the SDK would have produced a manifest with no version constraint and no rollback declaration. The Permission union was checked at the same time and was NOT drifted: all 7 brokered permissions present, and all 14 it declares exist live (7 in the catalogue, 7 in capabilities/reference/noesar_capabilities/policy.py)	both fields added to CapabilityManifest, required, with strategy optional because protocols.py emits rollback without it	packages/sdk/test/manifest-contract.test.mjs — asserts one-directionally that the SDK omits nothing the template or the catalogue declares, and picked up automatically by the existing packages/*/test/*.test.mjs glob in the pre-commit hook. Oracle: before the fix it failed naming exactly "compatibility, rollback"	CLOSED - fixed, tested, gated. NOT covered and left for the Owner: the TypeScript and Python halves of this SDK describe the same manifest differently (the dataclass has no schemaVersion, license, industry, compatibility or rollback and flattens publisher/entrypoint into scalars). Whether that is drift or a deliberate minimal client view is a design decision, not a defect this row may assume. Also uncovered: packages/sdk/python is not installable by construction (build.py is a PEP 517 backend that raises), and capabilities/reference/ has no gate of its own
F-LOG-001	high	the prompt log submitted with the application was 81% a different application of the same applicant	The sessions to log were chosen by matching git blame author dates to whatever transcript existed from that date, never by opening the transcript. Two sessions ran on 2026-08-22/23, one on this project and one on Argonyx Trader, and a date cannot tell them apart. The reading of the log on 2026-08-31 scanned for IPs, tokens, keys and personal addresses and did not ask whether the content belonged to this project.	cfd8b4ac's transcript is 5.9 MB and names NOESAR zero times and FUNDING/ zero times; it carried 48 of the log's 76 prompts and 237 of its 291 outputs; the submitted set contains no line dated 2026-08-23 at all. The 45 lines that were attributed to it are in 19_WORK_PLAN_TO_BETA.md, which is not submitted, and were written by another session.	Session removed and the log regenerated over e71e6579 and 1fc5f34f: 28 prompts, 54 outputs. The retained half was verified byte-identical to the corresponding half of the withdrawn snapshot, so the regeneration removed a session and changed nothing else. 20_GENAI_DISCLOSURE.md records the mechanism and now derives its session list from a measurement over all 43 local transcripts rather than from dates. tools/extract-prompt-log.mjs refuses a transcript that never names FUNDING/.	node tools/extract-prompt-log.mjs <cfd8b4ac>.jsonl exits 3 and refuses it by name; the two real transcripts still produce the log and exit 0. Run 2026-09-02, both directions.	CLOSED 2026-09-02 - the gate is necessary and not sufficient by construction: a session that only READ FUNDING/ files also passes it, so the session list in 20 stays a measurement and this check is the floor under it.
